Animal_ID,Trial,Dpat,Time_min,l_star,a_star,b_star,PaO2,cal_SaO2,PaCO2,Cl,HCO3,Temp,pH,Cartridge_expired,Coox_SaO2,Hct,total_Hb,O2Hb,COHb,MetHb,O2_suppl
I8,4,0,30,16.8,37.2,24,46.4,80.8,56,112,34.6,39.7,7.4,No,81.1,22,8.5,77.4,2.1,2.5,No
I8,6,0,42,21.1,42.5,31.2,131.4,98,59.6,114,22.4,37.5,7.18,No,92,35,13.4,88.7,2.6,1,Yes
I8,6,0,44,21.4,46.6,34,153.3,98.8,58.6,115,22.3,38.1,7.19,No,92.5,32,12.6,98.1,2.6,1.1,Yes
I8,6,0,46,18.9,42.1,27.9,63.3,81.7,75.3,114,23.9,38.1,7.11,No,84.5,31,11.9,81.9,1.4,1.7,Yes
I8,6,0,48,21,45,31,210.9,99.6,53.2,112,23.9,38.1,7.26,No,93.5,29,11.3,90.1,2.5,1.1,Yes
I8,6,0,49,21.2,46.3,32.8,205.2,99.5,59.9,111,25.4,38,7.23,No,93.9,28,10.9,90.7,2.3,1.1,Yes
I8,6,0,50,20.3,45,31.8,102.5,96.8,52.4,111,23.9,38,7.27,No,91.9,28,10.5,89.1,2.5,0.6,Yes
I9,1,20,5,18,41.5,26.7,81.6,95.3,43.4,112,24.1,38.8,7.35,No,89.6,26,9.8,86.7,0.9,2.3,No
I9,1,20,15,18.4,38.4,25.3,65.1,91.6,45.5,113,26.1,38.9,7.37,No,87.8,22,8.4,85,1.2,2,No
I9,1,20,20,18.1,40.5,25.1,63.5,91.1,46,111,26.8,38.8,7.37,No,88.4,21,8,85.3,0.9,2.6,No
I9,1,20,30,19.4,41.6,27,70.4,93.8,43.5,111,27.1,38.7,7.4,No,90,20,7.5,87.4,0.8,2,No
I9,3,0,5,16.1,38.4,21.4,53.6,83.7,49.1,112,24.4,39.1,7.31,No,82.2,26,9.8,79.3,1.3,2.2,No
I9,3,0,10,17,37.2,24,54.7,85.7,48,110,25.9,39.5,7.34,No,85.4,23,8.7,81.7,1.8,2.5,No
I9,3,0,15,16.7,35.9,20.7,51.9,84.9,46.1,113,26.6,39.7,7.37,No,83.2,20,7.8,78.9,2.7,2.5,No
I9,3,0,20,18.1,40.8,24,63.3,91.8,46.3,111,29.2,39.6,7.41,No,88.3,20,7.8,84.3,2.6,2,No
I9,3,0,30,18.4,40.4,27.4,63.5,93.1,43.2,110,31.6,39.4,7.47,No,91.2,21,7.9,87.2,2.3,2.1,No
I9,4,70,5,18.4,40.1,27.6,63.6,90.7,47.7,112,26.6,39.1,7.36,No,87.5,27,10,84.2,1.4,2.4,No
I9,4,70,10,17.7,38.4,25.3,53.8,86.7,46.3,110,27.7,39.4,7.39,No,86.6,22,8.4,83.1,1.7,2.3,No
I9,4,70,15,18.4,39.9,25,63,92.5,42.1,108,28.9,39.5,7.45,No,90.5,21,8.2,85.7,3.6,1.7,No
I9,4,70,20,16.5,38.2,23.9,43.1,78.6,48.5,106,30.9,39.5,7.41,No,78.2,20,7.7,75.4,1.3,2.4,No
